name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Oratórios,"""Oratórios""",4917 ,1.8,13225.88,Zona da Mata,Ponte Nova,0.637,89.068 ,0.45 ,55.21 
Orizânia,"""Orizânia""",8437 ,1.7,11141.66,Zona da Mata,Muriaé,0.562,121.800 ,1.91 ,69.27 
Ouro Branco,"""Ouro Branco""",38724 ,3.5,114801.85,Metropolitana de Belo Horizonte,Conselheiro Lafaiete,0.764,258.726 ,11.04 ,149.67 
Ouro Fino,"""Ouro Fino""",32094 ,1.8,24415.91,Sul/Sudoeste de Minas,Poços de Caldas,0.722,533.714 ,10.01 ,60.13 
Ouro Preto,"""Ouro Preto""",74824 ,3.1,50312.19,Metropolitana de Belo Horizonte,Ouro Preto,0.741,1245.865 ,22.69 ,60.06 
Ouro Verde De Minas,"""Ouro Verde De Minas""",5757 ,1.8,10053.61,Vale do Mucuri,Teófilo Otoni,0.595,175.482 ,1.14 ,32.81 
Padre Carvalho,"""Padre Carvalho""",5058 ,1.3,8775.32,Norte de Minas,Grão Mogol,0.599,446.275 ,1.28 ,11.33 
Padre Paraíso,"""Padre Paraíso""",17334 ,1.6,10079.61,Jequitinhonha,Araçuaí,0.596,544.375 ,2.53 ,31.84 
Pai Pedro,"""Pai Pedro""",5551 ,1.4,9033.2,Norte de Minas,Janaúba,0.59,839.805 ,0.78 ,6.61 
Paineiras,"""Paineiras""",4224 ,1.7,15930.22,Central Mineira,Três Marias,0.669,637.309 ,1.70 ,6.63 
Pains,"""Pains""",8142 ,2,45652.53,Oeste de Minas,Formiga,0.728,421.862 ,1.77 ,19.30 
Paiva,"""Paiva""",1474 ,1.7,16976.94,Zona da Mata,Juiz de Fora,0.72,58.419 ,0.40 ,25.23 
Palma,"""Palma""",5707 ,1.6,13378.91,Zona da Mata,Cataguases,0.703,316.476 ,1.32 ,18.03 
Palmópolis,"""Palmópolis""",6301 ,1.5,10719.44,Jequitinhonha,Almenara,0.565,433.154 ,1.09 ,14.55 
Papagaios,"""Papagaios""",13920 ,1.5,19344.49,Metropolitana de Belo Horizonte,Sete Lagoas,0.666,553.577 ,3.89 ,25.15 
Pará De Minas,"""Pará De Minas""",97139 ,1.9,35693.36,Metropolitana de Belo Horizonte,Pará de Minas,0.725,551.247 ,25.72 ,176.22 
Paracatu,"""Paracatu""",94017 ,2.7,59238.63,Noroeste de Minas,Paracatu,0.744,8231.029 ,18.95 ,11.42 
Paraguaçu,"""Paraguaçu""",21723 ,1.5,26103.44,Sul/Sudoeste de Minas,Alfenas,0.715,424.296 ,4.72 ,51.20 
Paraisópolis,"""Paraisópolis""",20445 ,1.9,25241.43,Sul/Sudoeste de Minas,Itajubá,0.729,331.238 ,4.50 ,61.72 
Paraopeba,"""Paraopeba""",24107 ,2.3,31572.39,Metropolitana de Belo Horizonte,Sete Lagoas,0.694,625.623 ,8.06 ,38.53 
Passa Quatro,"""Passa Quatro""",15515 ,1.9,32377.11,Sul/Sudoeste de Minas,São Lourenço,0.715,277.221 ,5.50 ,55.97 
Passa Tempo,"""Passa Tempo""",8473 ,2.1,36299.61,Oeste de Minas,Oliveira,0.687,429.172 ,2.13 ,19.74 
Passa Vinte,"""Passa Vinte""",2233 ,1.7,17467.13,Sul/Sudoeste de Minas,Andrelândia,0.648,246.565 ,0.36 ,9.06 
Passabém,"""Passabém""",1600 ,1.6,13382.83,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.642,94.183 ,0.64 ,16.99 
Passos,"""Passos""",111939 ,1.8,22706.24,Sul/Sudoeste de Minas,Passos,0.756,1338.070 ,24.51 ,83.66 
Patis,"""Patis""",4837 ,1.4,8573.13,Norte de Minas,Montes Claros,0.614,444.196 ,0.96 ,10.89 
Patos De Minas,"""Patos De Minas""",159235 ,2.1,35161.35,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,0.765,3190.456 ,36.71 ,49.91 
Patrocínio,"""Patrocínio""",89826 ,2,35985.78,Triângulo Mineiro/Alto Paranaíba,Patrocínio,0.729,2874.344 ,22.35 ,31.25 
Patrocínio Do Muriaé,"""Patrocínio Do Muriaé""",5576 ,1.6,20534.03,Zona da Mata,Muriaé,0.682,108.246 ,1.23 ,51.51 
Paula Cândido,"""Paula Cândido""",8659 ,1.5,12047.19,Zona da Mata,Viçosa,0.637,268.321 ,2.02 ,32.27 
Paulistas,"""Paulistas""",4389 ,1.6,12665.36,Vale do Rio Doce,Guanhães,0.625,220.564 ,0.98 ,19.90 
Pavão,"""Pavão""",8047 ,1.7,9901.53,Vale do Mucuri,Teófilo Otoni,0.627,601.190 ,1.10 ,13.39 
Peçanha,"""Peçanha""",17446 ,1.5,12752.91,Vale do Rio Doce,Peçanha,0.627,996.646 ,2.52 ,17.50 
Pedra Azul,"""Pedra Azul""",24410 ,1.8,13264.36,Jequitinhonha,Pedra Azul,0.627,1594.651 ,5.25 ,15.31 
Pedra Bonita,"""Pedra Bonita""",7320 ,1.6,11618.7,Zona da Mata,Manhuaçu,0.573,173.928 ,0.61 ,42.09 
Pedra Do Anta,"""Pedra Do Anta""",3311 ,1.6,15253.83,Zona da Mata,Viçosa,0.624,173.168 ,0.58 ,19.12 
Pedra Do Indaiá,"""Pedra Do Indaiá""",4112 ,1.4,26841.82,Oeste de Minas,Formiga,0.708,347.920 ,1.10 ,11.82 
Pedra Dourada,"""Pedra Dourada""",2757 ,1.7,14369.13,Zona da Mata,Muriaé,0.655,69.990 ,0.41 ,39.39 
Pedralva,"""Pedralva""",10760 ,1.7,13157.9,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.675,217.989 ,1.88 ,49.36 
Pedras De Maria Da Cruz,"""Pedras De Maria Da Cruz""",10452 ,1.7,8060.72,Norte de Minas,Januária,0.614,1525.648 ,2.47 ,6.85 
Pedrinópolis,"""Pedrinópolis""",3344 ,2.1,42618.26,Triângulo Mineiro/Alto Paranaíba,Araxá,0.729,357.891 ,0.88 ,9.34 
Pedro Leopoldo,"""Pedro Leopoldo""",62580 ,2.2,25533.43,Metropolitana de Belo Horizonte,Belo Horizonte,0.757,292.831 ,18.78 ,213.71 
Pedro Teixeira,"""Pedro Teixeira""",1810 ,1.6,14647.62,Zona da Mata,Juiz de Fora,0.637,112.959 ,0.41 ,16.02 
